GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
50,563.64,1221.2,2120.07,-1327.73,2187.02,613.67,-324.73,-3259.32,91.33,5053.14,-3167.99,1885.16
51,577.29,1207.89,2176.65,-1326.29,2186.99,618.28,-330.07,-3256.08,91.52,5110.73,-3164.56,1946.17
52,566.22,1267.43,2148.45,-1324.89,2164.68,607.34,-328.65,-3235.97,91.34,5100.57,-3144.63,1955.94
53,567.83,1239.39,2158.01,-1335.31,2175.73,596.76,-323.2,-3251.24,91.53,5079.22,-3159.71,1919.5
54,588.36,1209.4,2147.76,-1318.91,2140.8,597.4,-322.65,-3219.11,91.61,5042.15,-3127.49,1914.65
55,570.55,1212.17,2165.35,-1310.99,2141.43,617.38,-327.17,-3219.21,91.86,5068.72,-3127.36,1941.36
56,584.92,1199.53,2153.38,-1294.96,2169.22,608.14,-325.28,-3247.3,91.13,5094.96,-3156.17,1938.79
57,550.3,1261.99,2146.12,-1296.39,2179.66,604.18,-326.07,-3255.52,91.44,5119.79,-3164.09,1955.71
58,563.35,1262.69,2165.52,-1315.84,2182.0,599.88,-327.28,-3255.99,91.25,5130.31,-3164.74,1965.57
59,538.03,1188.53,2132.89,-1298.34,2173.6,622.12,-322.61,-3247.8,91.4,5034.22,-3156.4,1877.82
60,567.14,1241.49,2149.09,-1317.14,2182.43,610.47,-329.09,-3254.47,90.54,5104.4,-3163.94,1940.46
61,621.79,1195.75,2180.05,-1282.46,2183.83,605.06,-328.67,-3257.85,91.33,5175.34,-3166.52,2008.82
62,561.26,1252.78,2135.16,-1312.16,2175.41,614.07,-328.44,-3246.93,91.92,5098.1,-3155.01,1943.09
63,539.97,1284.83,2155.45,-1317.59,2190.41,625.44,-326.83,-3263.29,91.61,5151.69,-3171.68,1980.0
64,559.43,1132.4,2168.84,-1303.73,2176.36,615.9,-327.45,-3249.08,91.79,5021.75,-3157.29,1864.46
65,601.02,1219.2,2147.09,-1316.07,2181.34,616.2,-327.32,-3254.73,91.58,5121.48,-3163.15,1958.33
66,570.52,1223.22,2154.06,-1296.4,2180.02,613.42,-330.1,-3251.66,91.48,5114.73,-3160.18,1954.56
67,549.96,1230.78,2122.74,-1299.95,2182.89,612.03,-328.62,-3254.34,92.42,5069.83,-3161.92,1907.91
68,591.24,1208.16,2129.72,-1306.84,2169.2,616.47,-332.98,-3237.95,92.04,5074.97,-3145.91,1929.06
69,523.72,1202.76,2146.92,-1330.47,2162.27,608.48,-326.98,-3233.59,91.33,4986.7,-3142.26,1844.45
70,611.86,1217.71,2107.75,-1326.85,2156.04,619.72,-327.69,-3229.17,91.72,5058.55,-3137.45,1921.1
71,586.9,1248.49,2114.48,-1319.12,2149.72,612.76,-331.76,-3221.5,91.42,5061.47,-3130.09,1931.38
72,573.53,1228.85,2166.49,-1322.5,2156.11,605.89,-328.52,-3230.07,91.52,5079.85,-3138.55,1941.3
73,559.75,1209.4,2155.61,-1325.42,2175.25,601.98,-330.32,-3245.31,91.42,5046.26,-3153.89,1892.37
74,560.24,1219.0,2153.96,-1319.28,2185.85,607.74,-330.81,-3253.72,91.46,5076.7,-3162.26,1914.44
75,560.8,1250.66,2143.84,-1316.32,2170.05,615.38,-330.9,-3241.33,91.38,5093.51,-3149.96,1943.56
76,595.29,1256.46,2146.26,-1314.81,2161.47,612.04,-331.46,-3231.75,92.24,5125.25,-3139.51,1985.74
77,586.81,1252.28,2134.2,-1311.28,2167.94,606.1,-333.58,-3236.9,91.99,5102.47,-3144.91,1957.56
78,582.28,1261.96,2162.29,-1320.07,2163.37,606.98,-329.26,-3237.7,91.68,5127.54,-3146.02,1981.53
79,547.47,1252.84,2121.17,-1302.01,2167.05,597.4,-327.94,-3241.27,91.46,5055.96,-3149.82,1906.15
80,526.36,1265.51,2121.5,-1306.27,2165.21,622.4,-327.84,-3236.89,91.82,5066.87,-3145.06,1921.8
81,536.44,1207.17,2143.88,-1287.48,2178.82,602.46,-330.95,-3248.73,91.76,5050.35,-3156.98,1893.37

Ligand Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,556.68,1611.97,2507.84,-1414.38,-1068.34,690.18,412.69,-483.06,96.99,3296.63,-386.07,2910.56
2,593.88,1537.65,2511.97,-1431.41,-1089.61,692.44,416.61,-460.95,95.7,3231.52,-365.26,2866.27
3,589.61,1596.68,2471.07,-1407.9,-1091.16,677.65,413.68,-459.26,96.16,3249.63,-363.11,2886.53
4,587.43,1579.87,2483.62,-1380.67,-1081.11,669.24,407.13,-466.74,99.28,3265.51,-367.46,2898.05
5,610.51,1578.19,2453.84,-1402.31,-1085.2,686.53,406.73,-459.53,95.9,3248.29,-363.63,2884.66
6,585.63,1562.89,2468.51,-1417.33,-1068.52,663.33,406.69,-473.78,98.94,3201.2,-374.85,2826.36
7,588.47,1587.9,2465.3,-1424.82,-1079.72,678.11,404.45,-462.21,97.3,3219.69,-364.91,2854.78
8,624.99,1548.66,2462.54,-1425.24,-1075.45,678.46,405.86,-465.8,98.82,3219.83,-366.98,2852.85
9,593.06,1543.38,2457.51,-1417.35,-1070.75,675.89,408.85,-468.67,96.72,3190.6,-371.94,2818.65
10,582.3,1565.06,2454.74,-1436.08,-1087.57,673.35,409.8,-457.71,96.73,3161.6,-360.99,2800.62
11,561.33,1534.23,2467.37,-1403.64,-1099.73,680.69,411.97,-453.57,96.86,3152.21,-356.71,2795.5
12,581.64,1632.4,2480.72,-1434.78,-1065.42,679.49,403.87,-471.94,96.7,3277.91,-375.24,2902.67
13,567.61,1593.26,2437.84,-1393.92,-1082.97,694.77,411.23,-466.59,98.46,3227.83,-368.13,2859.69
14,574.79,1583.03,2456.15,-1411.5,-1092.75,675.83,405.73,-454.33,96.51,3191.27,-357.82,2833.45
15,608.18,1534.8,2461.15,-1382.71,-1090.32,692.34,402.76,-452.15,96.94,3226.19,-355.22,2870.98
16,624.3,1568.52,2464.68,-1395.08,-1080.74,670.76,407.34,-464.86,97.52,3259.77,-367.34,2892.43
17,574.54,1576.01,2439.72,-1394.77,-1083.31,679.16,410.9,-464.33,96.24,3202.24,-368.09,2834.15
18,572.14,1571.47,2474.27,-1417.29,-1096.28,697.53,408.26,-450.88,95.73,3210.1,-355.16,2854.94
19,559.25,1570.62,2451.75,-1430.25,-1070.37,684.19,413.34,-476.16,96.68,3178.53,-379.48,2799.05
20,621.21,1530.19,2468.53,-1385.44,-1103.33,676.58,409.87,-450.21,97.84,3217.61,-352.37,2865.25
21,593.34,1591.69,2433.73,-1415.19,-1085.58,666.38,414.18,-465.04,97.62,3198.56,-367.42,2831.14
22,559.47,1558.39,2420.65,-1411.34,-1087.46,695.77,416.59,-464.45,97.38,3152.08,-367.08,2785.0
23,591.88,1535.11,2457.63,-1410.46,-1092.52,690.32,410.78,-458.46,98.42,3182.73,-360.04,2822.69
24,587.48,1601.96,2460.16,-1420.84,-1086.87,671.96,406.23,-458.19,98.13,3220.07,-360.06,2860.01
25,619.3,1563.2,2468.51,-1411.16,-1077.74,665.17,405.77,-469.8,96.84,3233.05,-372.97,2860.08
26,569.26,1629.11,2486.99,-1434.54,-1088.24,669.21,406.1,-462.8,97.14,3237.89,-365.66,2872.23
27,600.35,1586.03,2450.42,-1457.36,-1081.18,692.42,410.75,-468.16,97.33,3201.42,-370.82,2830.6
28,596.24,1549.9,2450.09,-1414.94,-1094.57,682.68,412.22,-454.61,97.05,3181.61,-357.56,2824.05
29,630.77,1560.44,2440.11,-1424.16,-1094.37,673.62,406.67,-451.22,98.1,3193.08,-353.13,2839.95
30,573.55,1637.92,2451.34,-1406.77,-1083.36,681.21,409.29,-468.95,98.02,3263.2,-370.94,2892.26
31,581.94,1544.4,2478.82,-1414.92,-1085.73,683.91,408.17,-459.65,96.88,3196.59,-362.77,2833.81
32,577.13,1616.63,2475.38,-1425.08,-1080.55,661.06,403.44,-464.12,94.91,3228.0,-369.21,2858.8
33,592.31,1633.81,2463.46,-1400.34,-1095.59,687.16,409.64,-457.56,97.86,3290.45,-359.7,2930.75
34,587.63,1579.35,2472.06,-1394.87,-1095.43,684.5,413.54,-460.53,97.92,3246.78,-362.61,2884.17
35,593.67,1556.59,2470.91,-1412.43,-1100.24,688.18,415.36,-456.55,98.01,3212.05,-358.54,2853.51
36,599.68,1603.48,2462.7,-1417.48,-1088.97,669.4,409.5,-460.6,95.56,3238.31,-365.04,2873.27
37,564.41,1544.93,2464.19,-1431.72,-1092.87,679.54,412.51,-455.95,96.24,3141.0,-359.71,2781.28
38,606.28,1561.71,2471.77,-1412.85,-1107.6,654.26,414.24,-449.32,95.92,3187.81,-353.4,2834.41
39,582.31,1590.11,2478.19,-1401.93,-1104.08,664.34,413.13,-451.15,96.21,3222.07,-354.94,2867.13
40,589.17,1588.2,2446.51,-1405.05,-1094.11,661.0,408.66,-456.43,97.18,3194.37,-359.26,2835.12
41,603.45,1532.79,2476.12,-1415.88,-1099.79,672.78,415.06,-459.55,96.93,3184.51,-362.62,2821.89
42,597.03,1614.8,2507.48,-1380.61,-1098.98,683.86,412.08,-458.96,97.22,3335.67,-361.74,2973.93
43,603.27,1565.89,2488.56,-1398.06,-1100.64,660.46,410.69,-455.42,98.37,3230.18,-357.06,2873.12
44,582.14,1579.0,2504.92,-1388.96,-1103.57,671.9,414.14,-459.43,97.73,3259.58,-361.71,2897.87
45,582.48,1596.34,2466.69,-1387.11,-1099.29,682.1,410.39,-455.19,98.33,3251.6,-356.86,2894.74
46,575.22,1619.6,2463.76,-1398.18,-1110.82,694.09,412.26,-446.83,96.68,3255.94,-350.15,2905.79
47,606.97,1565.93,2490.34,-1418.65,-1101.61,665.99,415.21,-457.93,98.06,3224.17,-359.87,2864.3
48,597.77,1542.94,2453.3,-1380.25,-1106.97,675.51,415.04,-452.91,99.52,3197.33,-353.39,2843.95
49,585.86,1542.8,2462.74,-1415.17,-1095.55,688.06,421.94,-464.13,97.82,3190.68,-366.31,2824.38
50,591.31,1568.74,2479.84,-1421.55,-1094.19,652.01,415.2,-463.06,97.33,3191.35,-365.74,2825.61
51,583.06,1614.7,2458.9,-1406.46,-1096.21,669.97,416.17,-464.45,98.3,3240.12,-366.15,2873.97
52,608.28,1554.97,2473.46,-1421.53,-1090.4,681.45,419.83,-469.29,97.02,3226.04,-372.27,2853.77
53,606.29,1609.8,2484.31,-1431.95,-1085.09,651.65,414.9,-470.76,97.32,3249.91,-373.45,2876.46
54,597.76,1540.84,2463.52,-1396.6,-1083.86,674.35,418.43,-475.04,98.91,3214.44,-376.13,2838.31
55,597.48,1582.37,2495.41,-1443.24,-1089.03,661.62,416.88,-470.21,97.95,3221.49,-372.26,2849.23
56,581.53,1594.83,2507.98,-1430.99,-1079.05,682.65,418.27,-479.81,97.03,3275.22,-382.78,2892.44
57,598.84,1586.16,2448.76,-1415.17,-1066.11,678.19,414.83,-486.85,99.16,3245.5,-387.69,2857.81
58,621.73,1597.28,2485.17,-1401.03,-1079.44,669.37,407.92,-474.26,97.72,3301.0,-376.54,2924.46
59,613.14,1537.64,2453.03,-1400.35,-1080.56,690.71,416.48,-477.13,98.15,3230.08,-378.97,2851.11
60,583.33,1599.27,2471.3,-1410.45,-1070.62,663.73,418.97,-486.68,99.0,3255.52,-387.68,2867.84
61,561.95,1621.96,2491.76,-1428.78,-1072.78,689.52,420.02,-485.69,95.78,3283.64,-389.91,2893.73
62,602.88,1569.74,2473.7,-1456.19,-1075.09,648.65,416.32,-478.18,96.72,3180.01,-381.47,2798.54
63,620.25,1554.81,2517.18,-1432.26,-1075.43,668.8,417.99,-478.94,98.44,3271.35,-380.5,2890.84
64,581.1,1609.44,2488.15,-1431.78,-1079.07,658.49,409.6,-471.78,98.29,3235.94,-373.49,2862.45
65,610.08,1576.25,2477.31,-1404.5,-1085.54,696.61,410.09,-466.49,97.15,3280.31,-369.34,2910.97
